"Parent_Lead","Product","Product_ID","Product_Name","Product_Category","Product_Type","Product_Description","Manufacturer_Part_Number","Internal_Part_Number","Brand_Make","Model","Unit_of_Measure","Configuration","Technical_Requirements","Quantity","Expected_Unit_Price","Expected_Total_Price","Remarks"
"Clearwater Consulting","Seagate Exos X20 20TB Drive","14","Seagate Exos X20 20TB Drive","Storage Component","Hard Disk Drive","Enterprise hard disk drive for high-capacity server and storage arrays.","ST20000NM007D","DRV-SEA-014","Seagate","Exos X20","Piece","Single enterprise drive with standard sector format","20 TB capacity, SATA 6 Gb/s interface, 7200 RPM operation, and five-year warranty required.","20","399.00","7980.00","High-capacity drives for backup retention and consulting records."
"Redwood Media House","Samsung PM9A3 3.84TB SSD","15","Samsung PM9A3 3.84TB SSD","Storage Component","Solid-State Drive","Enterprise NVMe solid-state drive for read-intensive server workloads.","MZQL23T8HCLS-00A07","DRV-SAM-015","Samsung","PM9A3","Piece","Single U.2 NVMe drive with enterprise firmware","PCIe 4.0 performance, power-loss protection, enterprise firmware, and U.2 compatibility required.","20","559.00","11180.00","High-speed media cache and shared production storage drives."
"Golden Bridge Imports","Intel Xeon Gold 6430 Processor","16","Intel Xeon Gold 6430 Processor","Server Component","Processor","Server processor for compute-intensive enterprise applications.","PK8071305121001","CPU-INT-016","Intel","Xeon Gold 6430","Piece","Retail processor; compatible heatsink required","Compatible LGA4677 server platform, adequate cooling, and current server firmware required.","4","2545.00","10180.00","Processors allocated to the rack server modernization project."
"Aurora Learning Systems","Kingston Server Premier 64GB Memory","17","Kingston Server Premier 64GB Memory","Server Component","Memory","Registered ECC memory module for compatible enterprise servers.","KSM48R40BD4TMM-64HMR","MEM-KIN-017","Kingston","Server Premier DDR5-4800","Piece","Single 64 GB RDIMM module","DDR5-4800 registered ECC compatibility and matched memory population rules required.","16","289.00","4624.00","Memory expansion for digital learning application servers."
"Pioneer Auto Components","Supermicro X13DEI Motherboard","18","Supermicro X13DEI Motherboard","Server Component","Motherboard","Dual-socket server motherboard for high-performance rack server builds.","MBD-X13DEI-O","MB-SUP-018","Supermicro","X13DEI","Piece","Motherboard; I/O shield; driver media; user guide","Dual LGA4677 support, PCIe 5.0 expansion, IPMI management, and compatible chassis required.","2","1149.00","2298.00","Motherboards for production planning server builds."
"Willow Creek Organics","Seasonic Prime TX-1300 Power Supply","19","Seasonic Prime TX-1300 Power Supply","Computer Component","Power Supply","High-efficiency modular power supply for professional workstations.","SSR-1300TR","PSU-SEA-019","Seasonic","Prime TX-1300","Unit","Power supply; modular cable set; AC power cord","1300 W output, 80 Plus Titanium efficiency, modular cabling, and regional power compatibility required.","4","419.00","1676.00","Efficient replacement power units for office and server equipment."
"Atlas Construction Services","Broadcom MegaRAID 9560-16i","20","Broadcom MegaRAID 9560-16i","Server Component","RAID Controller","Tri-mode hardware RAID controller for SAS SATA and NVMe storage.","05-50077-00","RAID-BRC-020","Broadcom","MegaRAID 9560-16i","Piece","Controller card; cache protection module; internal cables","Tri-mode drive support, cache protection, required internal cables, and RAID 6 capability required.","3","1095.00","3285.00","Controllers provide resilient storage for mobile project systems."
"Coral Bay Travel","Intel Ethernet Network Adapter E810","21","Intel Ethernet Network Adapter E810","Networking Component","Network Interface Card","Dual-port network adapter for high-throughput server connectivity.","E810XXVDA2BLK","NIC-INT-021","Intel","E810-XXVDA2","Piece","Adapter card; low-profile bracket; driver download access","Dual 25 GbE ports, SR-IOV support, compatible SFP28 optics, and current drivers required.","6","469.00","2814.00","High-throughput adapters for reservation and storage servers."
"Ironclad Security Systems","NVIDIA RTX 5000 Ada Graphics Card","22","NVIDIA RTX 5000 Ada Graphics Card","Computer Component","Graphics Card","Professional graphics card for visualization AI and rendering workloads.","900-5G132-2500-000","GPU-NVI-022","NVIDIA","RTX 5000 Ada","Piece","Graphics card; power adapter; support documentation","32 GB ECC graphics memory, certified drivers, adequate chassis cooling, and compatible power supply required.","2","4190.00","8380.00","Professional GPUs for security visualization and AI workloads."
"Meadowbrook Pharmaceuticals","Cisco 100G QSFP28 Transceiver","23","Cisco 100G QSFP28 Transceiver","Networking Component","Transceiver","Short-range optical transceiver for 100 Gigabit Ethernet links.","QSFP-100G-SR4-S","OPT-CIS-023","Cisco","QSFP-100G-SR4-S","Piece","Single hot-swappable optical transceiver","100 GbE compatibility, MPO-12 cabling, OM4 fiber support, and validated switch firmware required.","8","945.00","7560.00","Validated optical links for laboratory SAN connectivity."
"NovaPoint Financial Services","FS 10GBASE-SR SFP Plus Module","24","FS 10GBASE-SR SFP Plus Module","Networking Component","SFP Module","Multimode optical module for short-distance 10 Gigabit Ethernet connections.","SFP-10GSR-85","OPT-FS-024","FS","SFP-10GSR-85","Piece","Single vendor-compatible SFP Plus module","10 GbE compatibility, LC duplex connectors, OM3 fiber support, and coded switch compatibility required.","40","49.00","1960.00","Optical modules for redundant financial application connectivity."
"Riverbend Agricultural Co","APC Smart-UPS SRT 3000VA","25","APC Smart-UPS SRT 3000VA","Accessory","UPS","Online uninterruptible power supply for servers and network equipment.","SRT3000XLI","PWR-APC-025","APC","Smart-UPS SRT3000XLI","Unit","UPS unit; rack mounting rails; network management card; power cables","Online double-conversion operation, network management, rack mounting, and regional power compatibility required.","6","2845.00","17070.00","UPS protection for branch networking and centralized storage equipment."
