"Booking_Date","Logistics_Provider","Suppliers","Pickup_Location","Warehouse_Destination","Expected_Arrival_Date","Actual_Arrival_Date","Tracking_Reference","Received_By","Received_Date","Quality_Checked_By","Quality_Check_Date","Quality_Check_Summary","Receiving_Remarks","Logistics_Booking_ID","Status","Action_Mode"
"10-Sep-2026","DHL Global Forwarding","Iberia Data Solutions","Madrid, Spain","European Technology Hub, Amsterdam","14-Sep-2026","14-Sep-2026","DHL-ES-26091011","Harper","14-Sep-2026 10:15:00","Grace","14-Sep-2026 13:10:00","Networking equipment passed model, quantity, and accessory verification.","Five cartons received with intact security tape and accurate labels.","11","Products Received","Receive"
"11-Sep-2026","Kuehne+Nagel","Nordic Storage Partners","Oslo, Norway","European Technology Hub, Amsterdam","14-Sep-2026","14-Sep-2026","KN-NO-26091112","Henry","14-Sep-2026 12:30:00","Evelyn","14-Sep-2026 15:25:00","Compute and storage units passed packaging and specification checks.","Pallets were unloaded safely and transferred to the secure receiving area.","12","Products Received","Receive"
"12-Sep-2026","DB Schenker","Scandia Network Trade","Stockholm, Sweden","European Technology Hub, Amsterdam","14-Sep-2026","14-Sep-2026","DBS-SE-26091213","Benjamin","14-Sep-2026 14:05:00","Matthew","14-Sep-2026 17:10:00","Received accessories passed inspection; delayed server remains outstanding.","Partial consignment recorded and backordered equipment was not included.","13","Products Received","Receive"
"10-Sep-2026","Swiss WorldCargo","Alpine Enterprise Supply","Zurich, Switzerland","European Technology Hub, Amsterdam","14-Sep-2026","14-Sep-2026","SWC-CH-26091014","Lucas","14-Sep-2026 16:20:00","Grace","14-Sep-2026 18:15:00","Firewall and switches passed port, accessory, and serial number checks.","All packages were received in good condition before the warehouse cutoff.","14","Products Received","Receive"
"14-Sep-2026","Mainfreight","Southern Cross Technologies","Auckland, New Zealand","Asia Pacific Warehouse, Singapore","18-Sep-2026","","MFT-NZ-26091415","","","","","Awaiting arrival and warehouse quality inspection.","Carrier confirmed export clearance and scheduled air transit.","15","New","Create"
"14-Sep-2026","Nippon Express","Sakura IT Distribution","Tokyo, Japan","Asia Pacific Warehouse, Singapore","19-Sep-2026","","NEX-JP-26091416","","","","","Quality inspection will verify server and network equipment configurations.","Shipment is booked with network equipment expected in the same consolidation.","16","New","Create"
"15-Sep-2026","CJ Logistics","Han River Components","Seoul, South Korea","Asia Pacific Warehouse, Singapore","20-Sep-2026","","CJL-KR-26091517","","","","","Pending quantity, license, and hardware condition checks upon receipt.","Campus wireless products are packed and awaiting carrier collection.","17","New","Create"
"16-Sep-2026","FedEx Freight","Aztec Computing Supply","Monterrey, Mexico","Central Technology Warehouse, Dallas","22-Sep-2026","","FDX-MX-26091618","","","","","Inspection pending for the server portion of the planned split shipment.","Storage array availability remains subject to supplier confirmation.","18","New","Create"
"17-Sep-2026","LATAM Cargo","Amazonia Business Systems","Sao Paulo, Brazil","Central Technology Warehouse, Miami","23-Sep-2026","","LAT-BR-26091719","","","","","Warehouse will inspect server and NAS packaging before acceptance.","Main equipment is consolidated; the UPS may arrive under a separate airway bill.","19","New","Create"
"18-Sep-2026","Aramex","Gulf Enterprise Equipment","Dubai, United Arab Emirates","Regional Distribution Center, Dubai","24-Sep-2026","","ARX-AE-26091820","","","","","Pending verification of networking equipment and regional power accessories.","Carrier pickup window is confirmed and customs documents are complete.","20","New","Create"
"19-Sep-2026","DHL Global Forwarding","Cape Digital Wholesale","Cape Town, South Africa","Regional Distribution Center, Johannesburg","25-Sep-2026","","DHL-ZA-26091921","","","","","Inspection will confirm server condition and allocated storage quantities.","Supplier advised that additional drives may follow in a second consignment.","21","New","Create"
"20-Sep-2026","Blue Dart Express","Bharat Infrastructure Supply","Mumbai, India","Asia Regional Warehouse, Bengaluru","26-Sep-2026","","BDX-IN-26092022","","","","","Security equipment will undergo firmware, serial number, and condition checks.","Shipment is packed with tamper-evident seals and current support documents.","22","New","Create"
"22-Sep-2026","Kuehne+Nagel","Benelux Technology Traders","Brussels, Belgium","European Technology Hub, Amsterdam","28-Sep-2026","","KN-BE-26092223","","","","","Quality review will begin when the validated SAN equipment is delivered.","Booking remains provisional while the supplier confirms manufacturer allocation.","23","New","Create"
"25-Sep-2026","Luxair Cargo","LuxCore Systems Distribution","Luxembourg City, Luxembourg","29-Sep-2026","","LUX-LU-26092524","","","","","Inspection will verify enterprise server and load balancer specifications.","Staged delivery is approved with the first consignment scheduled for month end.","24","New","Create"
"28-Sep-2026","DSV Global Transport","Danish Power Solutions","Copenhagen, Denmark","European Technology Hub, Amsterdam","30-Sep-2026","","DSV-DK-26092825","","","","","Pending configuration and physical inspection of networking and UPS equipment.","Final carrier release will follow completion of the supplier configuration review.","25","New","Create"
