"Parent_Return_Request","Purchase_Order_Product","Product","Product_ID","Product_Name","Product_Category","Product_Type","Product_Description","Manufacturer_Part_Number","Internal_Part_Number","Brand_Make","Model","Configuration","Serial_Number","Delivered_Quantity","Unit_of_Measure","Return_Quantity","Defect_Description","Damage_Responsibility","Remarks"
"15","Seasonic Prime TX-1300 Power Supply","Seasonic Prime TX-1300 Power Supply","19","Seasonic Prime TX-1300 Power Supply","Computer Component","Power Supply","High-efficiency modular power supply for professional workstations.","SSR-1300TR","PSU-SEA-019","Seasonic","Prime TX-1300","Power supply; modular cable set; AC power cord","STX1300-26091902","4.00","Unit","1.00","Power supply enclosure is dented near the cooling fan and the fan cannot rotate freely.","Supplier","Unit remains disconnected and unopened pending return instructions."
"16","Broadcom MegaRAID 9560-16i","Broadcom MegaRAID 9560-16i","20","Broadcom MegaRAID 9560-16i","Server Component","RAID Controller","Tri-mode hardware RAID controller for SAS SATA and NVMe storage.","05-50077-00","RAID-BRC-020","Broadcom","MegaRAID 9560-16i","Controller card; cache protection module; internal cables","MR9560-26092001","3.00","Piece","1.00","Controller was ordered with an incompatible internal cable set for the target chassis.","Company","Procurement selected the wrong cable option; return for compatible kit replacement."
"17","Dell PowerEdge R760 Rack Server","Dell PowerEdge R760 Rack Server","1","Dell PowerEdge R760 Rack Server","Server","Rack Server","Two-socket enterprise rack server for virtualization and database workloads.","PER760-8SFF","SRV-DELL-001","Dell Technologies","PowerEdge R760","2 x Xeon Gold CPUs; 256 GB RAM; 4 x 1.92 TB SSD; dual 1100 W PSU","DLR760-26090102","2.00","Unit","1.00","Secondary redundant power supply failed after several days of production use.","Supplier","Warranty replacement requested with an expedited turnaround."
"18","HPE ProLiant ML350 Gen11","HPE ProLiant ML350 Gen11","2","HPE ProLiant ML350 Gen11","Server","Tower Server","Expandable tower server designed for branch offices and growing businesses.","P53567-B21","SRV-HPE-002","HPE","ProLiant ML350 Gen11","1 x Xeon Silver CPU; 128 GB RAM; 4 x 2.4 TB SAS; redundant 800 W PSU","HPEML350-26090203","3.00","Unit","1.00","Installed memory reports persistent corrected errors during extended diagnostics.","Supplier","Server was tested with known-good memory and remains isolated for return."
"19","Lenovo ThinkSystem SN550 V2","Lenovo ThinkSystem SN550 V2","3","Lenovo ThinkSystem SN550 V2","Server","Blade Server","High-density blade server for scalable private cloud infrastructure.","7Z69A01XEA","SRV-LEN-003","Lenovo","ThinkSystem SN550 V2","2 x Xeon Silver CPUs; 256 GB RAM; RAID 1 boot drives","LSN550-26090304","4.00","Unit","1.00","Blade server was configured with a management license that does not support the required advanced features.","Company","Internal sales configuration used the incorrect license tier."
"20","Dell Precision 7960 Workstation","Dell Precision 7960 Workstation","4","Dell Precision 7960 Workstation","Other IT Equipment","Workstation","Professional workstation for engineering rendering and data analysis.","PREC7960-CTO","WKS-DELL-004","Dell Technologies","Precision 7960 Tower","Xeon W processor; 128 GB ECC RAM; RTX 5000 GPU; 2 TB NVMe SSD","DP7960-26090402","2.00","Unit","1.00","Workstation cooling assembly emits an abnormal rattling sound under processor load.","Supplier","System use was stopped to prevent overheating or component damage."
"21","Dell PowerVault ME5024 Array","Dell PowerVault ME5024 Array","11","Dell PowerVault ME5024 Array","Storage Equipment","Storage Array","Dual-controller storage array for virtualization and general-purpose workloads.","ME5024-24SFF","STO-DELL-011","Dell Technologies","PowerVault ME5024","12 x 3.84 TB SSD; dual FC controllers; rack rails","ME5024-26091101","1.00","Unit","1.00","Backup battery module reports a persistent fault after charging and repeated self-tests.","Supplier","Return the affected array for battery module replacement and full diagnostics."
"22","Samsung PM9A3 3.84TB SSD","Samsung PM9A3 3.84TB SSD","15","Samsung PM9A3 3.84TB SSD","Storage Component","Solid-State Drive","Enterprise NVMe solid-state drive for read-intensive server workloads.","MZQL23T8HCLS-00A07","DRV-SAM-015","Samsung","PM9A3","Single U.2 NVMe drive with enterprise firmware","PM9A3-26091514","20.00","Piece","1.00","Drive was supplied with an incorrect capacity label and reports a smaller usable capacity.","Supplier","Approved quotation specifies the 3.84 TB enterprise model."
"23","Intel Xeon Gold 6430 Processor","Intel Xeon Gold 6430 Processor","16","Intel Xeon Gold 6430 Processor","Server Component","Processor","Server processor for compute-intensive enterprise applications.","PK8071305121001","CPU-INT-016","Intel","Xeon Gold 6430","Retail processor; compatible heatsink required","XG6430-26091604","4.00","Piece","1.00","Processor was ordered with an incompatible heatsink mounting accessory for the server chassis.","Company","Incorrect accessory part number was added during purchase processing."
"24","NVIDIA RTX 5000 Ada Graphics Card","NVIDIA RTX 5000 Ada Graphics Card","22","NVIDIA RTX 5000 Ada Graphics Card","Computer Component","Graphics Card","Professional graphics card for visualization AI and rendering workloads.","900-5G132-2500-000","GPU-NVI-022","NVIDIA","RTX 5000 Ada","Graphics card; power adapter; support documentation","RTX5A-26092202","2.00","Piece","1.00","Graphics card fails firmware validation and is not detected consistently by either supplied server.","Supplier","Vendor diagnostics confirmed defective onboard flash memory."
"25","APC Smart-UPS SRT 3000VA","APC Smart-UPS SRT 3000VA","25","APC Smart-UPS SRT 3000VA","Accessory","UPS","Online uninterruptible power supply for servers and network equipment.","SRT3000XLI","PWR-APC-025","APC","Smart-UPS SRT3000XLI","UPS unit; rack mounting rails; network management card; power cables","SRT3K-26092506","6.00","Unit","1.00","UPS enclosure has crushed ventilation panels and visible frame distortion from transit damage.","Supplier","Unit was photographed at delivery and has not been connected to power."
