"Parent_Supplier_Invoice","Purchase_Order_Product","Product","Product_ID","Product_Name","Manufacturer_Part_Number","Brand_Make","Model","Configuration","Unit_of_Measure","Quantity","Unit_Price","Total_Price","Currency","Remarks"
"14","Seagate Exos X20 20TB Drive","Seagate Exos X20 20TB Drive","14","Seagate Exos X20 20TB Drive","ST20000NM007D","Seagate","Exos X20","Single enterprise drive with standard sector format","Piece","20.00","325.00","6500.00","EUR","Twenty enterprise drives invoiced; receiving inspection identified one rejected unit."
"15","Samsung PM9A3 3.84TB SSD","Samsung PM9A3 3.84TB SSD","15","Samsung PM9A3 3.84TB SSD","MZQL23T8HCLS-00A07","Samsung","PM9A3","Single U.2 NVMe drive with enterprise firmware","Piece","20.00","465.00","9300.00","USD","Twenty enterprise NVMe drives billed with power-loss protection firmware."
"16","Intel Xeon Gold 6430 Processor","Intel Xeon Gold 6430 Processor","16","Intel Xeon Gold 6430 Processor","PK8071305121001","Intel","Xeon Gold 6430","Retail processor; compatible heatsink required","Piece","4.00","2180.00","8720.00","USD","Four server processors invoiced for the rack server modernization project."
"17","Kingston Server Premier 64GB Memory","Kingston Server Premier 64GB Memory","17","Kingston Server Premier 64GB Memory","KSM48R40BD4TMM-64HMR","Kingston","Server Premier DDR5-4800","Single 64 GB RDIMM module","Piece","20.00","235.00","4700.00","USD","Twenty registered ECC memory modules billed for server expansion."
"18","Supermicro X13DEI Motherboard","Supermicro X13DEI Motherboard","18","Supermicro X13DEI Motherboard","MBD-X13DEI-O","Supermicro","X13DEI","Motherboard; I/O shield; driver media; user guide","Piece","8.00","965.00","7720.00","USD","Eight dual-socket motherboards invoiced pending supplier account verification."
"19","Seasonic Prime TX-1300 Power Supply","Seasonic Prime TX-1300 Power Supply","19","Seasonic Prime TX-1300 Power Supply","SSR-1300TR","Seasonic","Prime TX-1300","Power supply; modular cable set; AC power cord","Unit","20.00","345.00","6900.00","USD","Twenty high-efficiency power supplies billed with modular cable sets."
"20","Broadcom MegaRAID 9560-16i","Broadcom MegaRAID 9560-16i","20","Broadcom MegaRAID 9560-16i","05-50077-00","Broadcom","MegaRAID 9560-16i","Controller card; cache protection module; internal cables","Piece","10.00","925.00","9250.00","USD","Ten RAID controllers invoiced with cache protection modules and cables."
"21","Intel Ethernet Network Adapter E810","Intel Ethernet Network Adapter E810","21","Intel Ethernet Network Adapter E810","E810XXVDA2BLK","Intel","E810-XXVDA2","Adapter card; low-profile bracket; driver download access","Piece","20.00","385.00","7700.00","USD","Twenty dual-port network adapters billed pending final quantity validation."
"22","NVIDIA RTX 5000 Ada Graphics Card","NVIDIA RTX 5000 Ada Graphics Card","22","NVIDIA RTX 5000 Ada Graphics Card","900-5G132-2500-000","NVIDIA","RTX 5000 Ada","Graphics card; power adapter; support documentation","Piece","3.00","3580.00","10740.00","USD","Three professional graphics cards invoiced with power adapters and documentation."
"23","Cisco 100G QSFP28 Transceiver","Cisco 100G QSFP28 Transceiver","23","Cisco 100G QSFP28 Transceiver","QSFP-100G-SR4-S","Cisco","QSFP-100G-SR4-S","Single hot-swappable optical transceiver","Piece","10.00","795.00","7950.00","EUR","Ten optical transceivers billed subject to procurement and compatibility review."
"24","FS 10GBASE-SR SFP Plus Module","FS 10GBASE-SR SFP Plus Module","24","FS 10GBASE-SR SFP Plus Module","SFP-10GSR-85","FS","SFP-10GSR-85","Single vendor-compatible SFP Plus module","Piece","100.00","32.00","3200.00","EUR","One hundred vendor-compatible SFP Plus modules invoiced for staged delivery."
"25","APC Smart-UPS SRT 3000VA","APC Smart-UPS SRT 3000VA","25","APC Smart-UPS SRT 3000VA","SRT3000XLI","APC","Smart-UPS SRT3000XLI","UPS unit; rack mounting rails; network management card; power cables","Unit","5.00","2380.00","11900.00","EUR","Five online UPS units billed with rails, management cards, and power cables."
