"Parent_Purchase_Order","Sales_Order_Product","Supplier_Quote_Product","Product","Product_ID","Product_Name","Product_Category","Product_Type","Product_Description","Manufacturer_Part_Number","Internal_Part_Number","Brand_Make","Model","Approved_Configuration","Unit_of_Measure","Quantity","Supplier_Unit_Price","Supplier_Total_Price","Customer_Unit_Price","Customer_Total_Price","Currency","Remarks"
"11","Dell PowerVault ME5024 Array","Dell PowerVault ME5024 Array","Dell PowerVault ME5024 Array","11","Dell PowerVault ME5024 Array","Storage Equipment","Storage Array","Dual-controller storage array for virtualization and general-purpose workloads.","ME5024-24SFF","STO-DELL-011","Dell Technologies","PowerVault ME5024","12 x 3.84 TB SSD; dual FC controllers; rack rails","Unit","1.00","26800.00","26800.00","31500.00","31500.00","EUR","Storage array includes dual controllers, installed SSDs, and rack rails."
"12","Synology RackStation RS3621RPxs","Synology RackStation RS3621RPxs","Synology RackStation RS3621RPxs","12","Synology RackStation RS3621RPxs","Storage Equipment","NAS","Twelve-bay rackmount NAS for backup and shared business storage.","RS3621RPXS","STO-SYN-012","Synology","RackStation RS3621RPxs","12-bay chassis; 32 GB ECC RAM; rail kit; disks sold separately","Unit","2.00","3450.00","6900.00","4195.00","8390.00","EUR","NAS units require redundant power and ten-gigabit upgrade capability."
"13","HPE MSA 2062 SAN Storage","HPE MSA 2062 SAN Storage","HPE MSA 2062 SAN Storage","13","HPE MSA 2062 SAN Storage","Storage Equipment","SAN","Hybrid flash SAN platform for small and medium enterprise applications.","R0Q80B","STO-HPE-013","HPE","MSA 2062","Dual FC controllers; 2 x 1.92 TB SSD; rail kit; management software","Unit","2.00","19750.00","39500.00","23400.00","46800.00","EUR","SAN units require validation certificates before customer acceptance."
"14","Seagate Exos X20 20TB Drive","Seagate Exos X20 20TB Drive","Seagate Exos X20 20TB Drive","14","Seagate Exos X20 20TB Drive","Storage Component","Hard Disk Drive","Enterprise hard disk drive for high-capacity server and storage arrays.","ST20000NM007D","DRV-SEA-014","Seagate","Exos X20","Single enterprise drive with standard sector format","Piece","20.00","325.00","6500.00","399.00","7980.00","EUR","Enterprise drives will be individually inspected and serial-numbered."
"15","Samsung PM9A3 3.84TB SSD","Samsung PM9A3 3.84TB SSD","Samsung PM9A3 3.84TB SSD","15","Samsung PM9A3 3.84TB SSD","Storage Component","Solid-State Drive","Enterprise NVMe solid-state drive for read-intensive server workloads.","MZQL23T8HCLS-00A07","DRV-SAM-015","Samsung","PM9A3","Single U.2 NVMe drive with enterprise firmware","Piece","20.00","465.00","9300.00","559.00","11180.00","USD","NVMe drives require enterprise firmware and power-loss protection."
"16","Intel Xeon Gold 6430 Processor","Intel Xeon Gold 6430 Processor","Intel Xeon Gold 6430 Processor","16","Intel Xeon Gold 6430 Processor","Server Component","Processor","Server processor for compute-intensive enterprise applications.","PK8071305121001","CPU-INT-016","Intel","Xeon Gold 6430","Retail processor; compatible heatsink required","Piece","4.00","2180.00","8720.00","2545.00","10180.00","USD","Processors must be verified for platform and firmware compatibility."
"17","Kingston Server Premier 64GB Memory","Kingston Server Premier 64GB Memory","Kingston Server Premier 64GB Memory","17","Kingston Server Premier 64GB Memory","Server Component","Memory","Registered ECC memory module for compatible enterprise servers.","KSM48R40BD4TMM-64HMR","MEM-KIN-017","Kingston","Server Premier DDR5-4800","Single 64 GB RDIMM module","Piece","16.00","235.00","3760.00","289.00","4624.00","USD","Memory modules must follow matched server population rules."
"18","Supermicro X13DEI Motherboard","Supermicro X13DEI Motherboard","Supermicro X13DEI Motherboard","18","Supermicro X13DEI Motherboard","Server Component","Motherboard","Dual-socket server motherboard for high-performance rack server builds.","MBD-X13DEI-O","MB-SUP-018","Supermicro","X13DEI","Motherboard; I/O shield; driver media; user guide","Piece","2.00","965.00","1930.00","1149.00","2298.00","USD","Motherboards include shields, documentation, and driver media."
"19","Seasonic Prime TX-1300 Power Supply","Seasonic Prime TX-1300 Power Supply","Seasonic Prime TX-1300 Power Supply","19","Seasonic Prime TX-1300 Power Supply","Computer Component","Power Supply","High-efficiency modular power supply for professional workstations.","SSR-1300TR","PSU-SEA-019","Seasonic","Prime TX-1300","Power supply; modular cable set; AC power cord","Unit","4.00","345.00","1380.00","419.00","1676.00","USD","Power supplies require complete modular cable sets and regional cords."
"20","Broadcom MegaRAID 9560-16i","Broadcom MegaRAID 9560-16i","Broadcom MegaRAID 9560-16i","20","Broadcom MegaRAID 9560-16i","Server Component","RAID Controller","Tri-mode hardware RAID controller for SAS SATA and NVMe storage.","05-50077-00","RAID-BRC-020","Broadcom","MegaRAID 9560-16i","Controller card; cache protection module; internal cables","Piece","3.00","925.00","2775.00","1095.00","3285.00","USD","Controllers include cache protection modules and internal cables."
"21","Intel Ethernet Network Adapter E810","Intel Ethernet Network Adapter E810","Intel Ethernet Network Adapter E810","21","Intel Ethernet Network Adapter E810","Networking Component","Network Interface Card","Dual-port network adapter for high-throughput server connectivity.","E810XXVDA2BLK","NIC-INT-021","Intel","E810-XXVDA2","Adapter card; low-profile bracket; driver download access","Piece","6.00","385.00","2310.00","469.00","2814.00","USD","Adapters require current firmware, drivers, and low-profile brackets."
"22","NVIDIA RTX 5000 Ada Graphics Card","NVIDIA RTX 5000 Ada Graphics Card","NVIDIA RTX 5000 Ada Graphics Card","22","NVIDIA RTX 5000 Ada Graphics Card","Computer Component","Graphics Card","Professional graphics card for visualization AI and rendering workloads.","900-5G132-2500-000","GPU-NVI-022","NVIDIA","RTX 5000 Ada","Graphics card; power adapter; support documentation","Piece","2.00","3580.00","7160.00","4190.00","8380.00","USD","Graphics cards require certified drivers and tamper-seal inspection."
"23","Cisco 100G QSFP28 Transceiver","Cisco 100G QSFP28 Transceiver","Cisco 100G QSFP28 Transceiver","23","Cisco 100G QSFP28 Transceiver","Networking Component","Transceiver","Short-range optical transceiver for 100 Gigabit Ethernet links.","QSFP-100G-SR4-S","OPT-CIS-023","Cisco","QSFP-100G-SR4-S","Single hot-swappable optical transceiver","Piece","8.00","795.00","6360.00","945.00","7560.00","EUR","Transceivers require validated firmware compatibility and optical testing."
"24","FS 10GBASE-SR SFP Plus Module","FS 10GBASE-SR SFP Plus Module","FS 10GBASE-SR SFP Plus Module","24","FS 10GBASE-SR SFP Plus Module","Networking Component","SFP Module","Multimode optical module for short-distance 10 Gigabit Ethernet connections.","SFP-10GSR-85","OPT-FS-024","FS","SFP-10GSR-85","Single vendor-compatible SFP Plus module","Piece","40.00","32.00","1280.00","49.00","1960.00","EUR","Modules must be correctly coded for the target network switches."
"25","APC Smart-UPS SRT 3000VA","APC Smart-UPS SRT 3000VA","APC Smart-UPS SRT 3000VA","25","APC Smart-UPS SRT 3000VA","Accessory","UPS","Online uninterruptible power supply for servers and network equipment.","SRT3000XLI","PWR-APC-025","APC","Smart-UPS SRT3000XLI","UPS unit; rack mounting rails; network management card; power cables","Unit","6.00","2380.00","14280.00","2845.00","17070.00","EUR","UPS units require final configuration and regional power verification."
