"Parent_Logistics_Booking","Purchase_Order","Purchase_Order_Product","Supplier","Product","Product_ID","Product_Name","Product_Category","Product_Type","Manufacturer_Part_Number","Brand_Make","Model","Configuration","Expected_Quantity","Unit_of_Measure","Received_Quantity","Damaged_Quantity","Accepted_Quantity","Rejected_Quantity","Serial_Number_Details","Receiving_Remarks"
"11","11","Dell PowerVault ME5024 Array","Iberia Data Solutions","Dell PowerVault ME5024 Array","11","Dell PowerVault ME5024 Array","Storage Equipment","Storage Array","ME5024-24SFF","Dell Technologies","PowerVault ME5024","12 x 3.84 TB SSD; dual FC controllers; rack rails","1.00","Unit","1.00","0.00","1.00","0.00","Service tag ME5024-26091101 and all twelve drive serials recorded.","Storage array arrived intact with controllers, drives, and rack rails."
"12","12","Synology RackStation RS3621RPxs","Nordic Storage Partners","Synology RackStation RS3621RPxs","12","Synology RackStation RS3621RPxs","Storage Equipment","NAS","RS3621RPXS","Synology","RackStation RS3621RPxs","12-bay chassis; 32 GB ECC RAM; rail kit; disks sold separately","2.00","Unit","2.00","0.00","2.00","0.00","Serials SRS3621-26091201 and SRS3621-26091202 captured.","Both NAS units passed enclosure, memory, and redundant power checks."
"13","13","HPE MSA 2062 SAN Storage","Scandia Network Trade","HPE MSA 2062 SAN Storage","13","HPE MSA 2062 SAN Storage","Storage Equipment","SAN","R0Q80B","HPE","MSA 2062","Dual FC controllers; 2 x 1.92 TB SSD; rail kit; management software","2.00","Unit","0.00","0.00","0.00","0.00","No SAN serial numbers recorded because both units remain backordered.","Accessories were received separately; the two SAN units remain outstanding."
"14","14","Seagate Exos X20 20TB Drive","Alpine Enterprise Supply","Seagate Exos X20 20TB Drive","14","Seagate Exos X20 20TB Drive","Storage Component","Hard Disk Drive","ST20000NM007D","Seagate","Exos X20","Single enterprise drive with standard sector format","20.00","Piece","20.00","1.00","19.00","1.00","Serial batch EX20-26091401 through EX20-26091420 recorded; EX20-26091417 rejected.","Nineteen drives passed inspection; one drive had a damaged connector."
"15","15","Samsung PM9A3 3.84TB SSD","Southern Cross Technologies","Samsung PM9A3 3.84TB SSD","15","Samsung PM9A3 3.84TB SSD","Storage Component","Solid-State Drive","MZQL23T8HCLS-00A07","Samsung","PM9A3","Single U.2 NVMe drive with enterprise firmware","20.00","Piece","0.00","0.00","0.00","0.00","Serial numbers will be captured when the shipment arrives.","Shipment is in transit and receiving inspection is pending."
"16","16","Intel Xeon Gold 6430 Processor","Sakura IT Distribution","Intel Xeon Gold 6430 Processor","16","Intel Xeon Gold 6430 Processor","Server Component","Processor","PK8071305121001","Intel","Xeon Gold 6430","Retail processor; compatible heatsink required","4.00","Piece","0.00","0.00","0.00","0.00","Processor batch and serial numbers are pending carrier delivery.","Shipment is booked for staged delivery and has not yet been received."
"17","17","Kingston Server Premier 64GB Memory","Han River Components","Kingston Server Premier 64GB Memory","17","Kingston Server Premier 64GB Memory","Server Component","Memory","KSM48R40BD4TMM-64HMR","Kingston","Server Premier DDR5-4800","Single 64 GB RDIMM module","16.00","Piece","0.00","0.00","0.00","0.00","Memory module serial numbers will be scanned at receiving.","Products are awaiting carrier collection and warehouse receipt."
"18","18","Supermicro X13DEI Motherboard","Aztec Computing Supply","Supermicro X13DEI Motherboard","18","Supermicro X13DEI Motherboard","Server Component","Motherboard","MBD-X13DEI-O","Supermicro","X13DEI","Motherboard; I/O shield; driver media; user guide","2.00","Piece","0.00","0.00","0.00","0.00","No motherboard serial numbers have been recorded yet.","Shipment is pending supplier confirmation of complete availability."
"19","19","Seasonic Prime TX-1300 Power Supply","Amazonia Business Systems","Seasonic Prime TX-1300 Power Supply","19","Seasonic Prime TX-1300 Power Supply","Computer Component","Power Supply","SSR-1300TR","Seasonic","Prime TX-1300","Power supply; modular cable set; AC power cord","4.00","Unit","0.00","0.00","0.00","0.00","Power supply serial details are pending arrival at the warehouse.","Main consignment is in transit and inspection has not started."
"20","20","Broadcom MegaRAID 9560-16i","Gulf Enterprise Equipment","Broadcom MegaRAID 9560-16i","20","Broadcom MegaRAID 9560-16i","Server Component","RAID Controller","05-50077-00","Broadcom","MegaRAID 9560-16i","Controller card; cache protection module; internal cables","3.00","Piece","0.00","0.00","0.00","0.00","Controller serial numbers will be verified after delivery.","Carrier pickup is confirmed and warehouse receipt remains pending."
"21","21","Intel Ethernet Network Adapter E810","Cape Digital Wholesale","Intel Ethernet Network Adapter E810","21","Intel Ethernet Network Adapter E810","Networking Component","Network Interface Card","E810XXVDA2BLK","Intel","E810-XXVDA2","Adapter card; low-profile bracket; driver download access","6.00","Piece","0.00","0.00","0.00","0.00","Adapter serial numbers have not yet been assigned to receiving records.","Shipment is in transit with final quantity verification pending."
"22","22","NVIDIA RTX 5000 Ada Graphics Card","Bharat Infrastructure Supply","NVIDIA RTX 5000 Ada Graphics Card","22","NVIDIA RTX 5000 Ada Graphics Card","Computer Component","Graphics Card","900-5G132-2500-000","NVIDIA","RTX 5000 Ada","Graphics card; power adapter; support documentation","2.00","Piece","0.00","0.00","0.00","0.00","GPU serial numbers will be recorded during security inspection.","Tamper-evident shipment is awaiting delivery to the regional warehouse."
"23","23","Cisco 100G QSFP28 Transceiver","Benelux Technology Traders","Cisco 100G QSFP28 Transceiver","23","Cisco 100G QSFP28 Transceiver","Networking Component","Transceiver","QSFP-100G-SR4-S","Cisco","QSFP-100G-SR4-S","Single hot-swappable optical transceiver","8.00","Piece","0.00","0.00","0.00","0.00","Transceiver serial numbers are pending manufacturer allocation.","Booking remains provisional and no products have been received."
"24","24","FS 10GBASE-SR SFP Plus Module","LuxCore Systems Distribution","FS 10GBASE-SR SFP Plus Module","24","FS 10GBASE-SR SFP Plus Module","Networking Component","SFP Module","SFP-10GSR-85","FS","SFP-10GSR-85","Single vendor-compatible SFP Plus module","40.00","Piece","0.00","0.00","0.00","0.00","Module serial batch will be captured with the staged consignment.","First staged delivery is scheduled for month end and remains pending."
"25","25","APC Smart-UPS SRT 3000VA","Danish Power Solutions","APC Smart-UPS SRT 3000VA","25","APC Smart-UPS SRT 3000VA","Accessory","UPS","SRT3000XLI","APC","Smart-UPS SRT3000XLI","UPS unit; rack mounting rails; network management card; power cables","6.00","Unit","0.00","0.00","0.00","0.00","UPS serial numbers will be recorded after final carrier release.","Configuration review is in progress and receiving remains pending."
