"Parent_Supplier_Quote","Sales_Order_Product","Product","Product_ID","Product_Name","Product_Category","Product_Type","Product_Description","Manufacturer_Part_Number","Internal_Part_Number","Brand_Make","Model","Requested_Configuration","Requested_Quantity","Unit_of_Measure","Offered_Configuration","Configuration_Match","Quoted_Quantity","Supplier_Unit_Price","Supplier_Total_Price","Currency","Availability","Lead_Time","Dispatch_Location","Remarks"
"12","Synology RackStation RS3621RPxs","Synology RackStation RS3621RPxs","12","Synology RackStation RS3621RPxs","Storage Equipment","NAS","Twelve-bay rackmount NAS for backup and shared business storage.","RS3621RPXS","STO-SYN-012","Synology","RackStation RS3621RPxs","12-bay chassis; 32 GB ECC RAM; rail kit; disks sold separately","2.00","Unit","12-bay chassis; 32 GB ECC RAM; rail kit; disks sold separately","Exact Match","2.00","3450.00","6900.00","EUR","In stock","9 business days","Oslo, Norway","NAS chassis are available with memory installed; storage disks are not included."
"13","HPE MSA 2062 SAN Storage","HPE MSA 2062 SAN Storage","13","HPE MSA 2062 SAN Storage","Storage Equipment","SAN","Hybrid flash SAN platform for small and medium enterprise applications.","R0Q80B","STO-HPE-013","HPE","MSA 2062","Dual FC controllers; 2 x 1.92 TB SSD; rail kit; management software","2.00","Unit","Dual FC controllers; rail kit; management software; SSD allocation pending","Partial Match","2.00","19750.00","39500.00","EUR","Backorder","18 business days","Stockholm, Sweden","SAN chassis can be ordered but integrated SSD availability is not yet guaranteed."
"14","Seagate Exos X20 20TB Drive","Seagate Exos X20 20TB Drive","14","Seagate Exos X20 20TB Drive","Storage Component","Hard Disk Drive","Enterprise hard disk drive for high-capacity server and storage arrays.","ST20000NM007D","DRV-SEA-014","Seagate","Exos X20","Single enterprise drive with standard sector format","20.00","Piece","Single enterprise drive with standard sector format","Exact Match","20.00","325.00","6500.00","EUR","In stock","4 business days","Zurich, Switzerland","All drives are from one production batch and include five-year warranties."
"15","Samsung PM9A3 3.84TB SSD","Samsung PM9A3 3.84TB SSD","15","Samsung PM9A3 3.84TB SSD","Storage Component","Solid-State Drive","Enterprise NVMe solid-state drive for read-intensive server workloads.","MZQL23T8HCLS-00A07","DRV-SAM-015","Samsung","PM9A3","Single U.2 NVMe drive with enterprise firmware","20.00","Piece","Single U.2 NVMe drive with enterprise firmware","Exact Match","20.00","465.00","9300.00","USD","In stock","7 business days","Auckland, New Zealand","Twenty SSDs can be configured with the current enterprise firmware before dispatch."
"16","Intel Xeon Gold 6430 Processor","Intel Xeon Gold 6430 Processor","16","Intel Xeon Gold 6430 Processor","Server Component","Processor","Server processor for compute-intensive enterprise applications.","PK8071305121001","CPU-INT-016","Intel","Xeon Gold 6430","Retail processor; compatible heatsink required","4.00","Piece","Retail processor; compatible heatsink required","Exact Match","4.00","2180.00","8720.00","USD","Limited stock","10 business days","Tokyo, Japan","Four processors are reserved; heatsinks must be sourced separately."
"17","Kingston Server Premier 64GB Memory","Kingston Server Premier 64GB Memory","17","Kingston Server Premier 64GB Memory","Server Component","Memory","Registered ECC memory module for compatible enterprise servers.","KSM48R40BD4TMM-64HMR","MEM-KIN-017","Kingston","Server Premier DDR5-4800","Single 64 GB RDIMM module","16.00","Piece","Single 64 GB RDIMM module","Exact Match","16.00","235.00","3760.00","USD","In stock","5 business days","Seoul, South Korea","Modules will be supplied as a matched production batch for consistent server population."
"18","Supermicro X13DEI Motherboard","Supermicro X13DEI Motherboard","18","Supermicro X13DEI Motherboard","Server Component","Motherboard","Dual-socket server motherboard for high-performance rack server builds.","MBD-X13DEI-O","MB-SUP-018","Supermicro","X13DEI","Motherboard; I/O shield; driver media; user guide","2.00","Piece","Motherboard and I/O shield; driver media supplied by download","Partial Match","2.00","965.00","1930.00","USD","Partial availability","14 business days","Monterrey, Mexico","Boards are available but printed driver media and guides are replaced by digital downloads."
"19","Seasonic Prime TX-1300 Power Supply","Seasonic Prime TX-1300 Power Supply","19","Seasonic Prime TX-1300 Power Supply","Computer Component","Power Supply","High-efficiency modular power supply for professional workstations.","SSR-1300TR","PSU-SEA-019","Seasonic","Prime TX-1300","Power supply; modular cable set; AC power cord","4.00","Unit","Power supply; modular cable set; regional AC power cord","Exact Match","4.00","345.00","1380.00","USD","In stock","8 business days","Sao Paulo, Brazil","Units include complete modular cable sets and compatible regional power cords."
"20","Broadcom MegaRAID 9560-16i","Broadcom MegaRAID 9560-16i","20","Broadcom MegaRAID 9560-16i","Server Component","RAID Controller","Tri-mode hardware RAID controller for SAS SATA and NVMe storage.","05-50077-00","RAID-BRC-020","Broadcom","MegaRAID 9560-16i","Controller card; cache protection module; internal cables","3.00","Piece","Controller card; cache protection module; internal cables","Exact Match","3.00","925.00","2775.00","USD","In stock","6 business days","Dubai, United Arab Emirates","Controllers include cache protection modules and the specified internal cable sets."
"21","Intel Ethernet Network Adapter E810","Intel Ethernet Network Adapter E810","21","Intel Ethernet Network Adapter E810","Networking Component","Network Interface Card","Dual-port network adapter for high-throughput server connectivity.","E810XXVDA2BLK","NIC-INT-021","Intel","E810-XXVDA2","Adapter card; low-profile bracket; driver download access","6.00","Piece","Adapter card; low-profile bracket; driver download access","Exact Match","6.00","385.00","2310.00","USD","Limited stock","9 business days","Cape Town, South Africa","Six adapters are allocated with low-profile brackets and current driver access."
"22","NVIDIA RTX 5000 Ada Graphics Card","NVIDIA RTX 5000 Ada Graphics Card","22","NVIDIA RTX 5000 Ada Graphics Card","Computer Component","Graphics Card","Professional graphics card for visualization AI and rendering workloads.","900-5G132-2500-000","GPU-NVI-022","NVIDIA","RTX 5000 Ada","Graphics card; power adapter; support documentation","2.00","Piece","Graphics card; power adapter; support documentation","Exact Match","2.00","3580.00","7160.00","USD","In stock","5 business days","Mumbai, India","Both graphics cards include power adapters and certified driver documentation."
"23","Cisco 100G QSFP28 Transceiver","Cisco 100G QSFP28 Transceiver","23","Cisco 100G QSFP28 Transceiver","Networking Component","Transceiver","Short-range optical transceiver for 100 Gigabit Ethernet links.","QSFP-100G-SR4-S","OPT-CIS-023","Cisco","QSFP-100G-SR4-S","Single hot-swappable optical transceiver","8.00","Piece","Cisco-compatible 100G QSFP28 SR4 transceiver from an approved alternative brand","Alternative","8.00","725.00","5800.00","EUR","Backorder","20 business days","Brussels, Belgium","Original Cisco modules are backordered; compatible alternatives are offered subject to approval."
"24","FS 10GBASE-SR SFP Plus Module","FS 10GBASE-SR SFP Plus Module","24","FS 10GBASE-SR SFP Plus Module","Networking Component","SFP Module","Multimode optical module for short-distance 10 Gigabit Ethernet connections.","SFP-10GSR-85","OPT-FS-024","FS","SFP-10GSR-85","Single vendor-compatible SFP Plus module","40.00","Piece","Single vendor-compatible SFP Plus module","Exact Match","40.00","32.00","1280.00","EUR","In stock","7 business days","Luxembourg City, Luxembourg","Modules will be coded for the identified target switches before staged delivery."
"25","APC Smart-UPS SRT 3000VA","APC Smart-UPS SRT 3000VA","25","APC Smart-UPS SRT 3000VA","Accessory","UPS","Online uninterruptible power supply for servers and network equipment.","SRT3000XLI","PWR-APC-025","APC","Smart-UPS SRT3000XLI","UPS unit; rack mounting rails; network management card; power cables","6.00","Unit","UPS unit; rack mounting rails; network management card; regional power cables","Exact Match","6.00","2380.00","14280.00","EUR","In stock","6 business days","Copenhagen, Denmark","UPS units require final network management configuration before carrier release."
