"Hub_ID","Hub_Name","Hub_Type","Parent_Sorting_Hub","Active","Hub_Address.address_line_1","Hub_Address.address_line_2","Hub_Address.district_city","Hub_Address.state_province","Hub_Address.postal_Code","Hub_Address.country","Latitude","Longitude","Operating_Start_Time","Operating_End_Time","Cut_Off_Time","Daily_Capacity","Contact_Name","Contact_Email","Contact_Phone"
"HUB-CC-012","Pasadena Collection Center","Collection Center","Los Angeles Metro Sorting Hub","true","1255 East Colorado Boulevard","Suite 210","Pasadena","California","91106","United States","34.1468","-118.1260","07:30:00","19:30:00","18:00:00","3600","James Foster","james.foster@zylker.com","+16265550112"
"HUB-CC-013","Oakland Collection Center","Collection Center","San Francisco Bay Sorting Hub","true","880 Maritime Street","Building 3","Oakland","California","94607","United States","37.8081","-122.3018","06:30:00","20:30:00","19:00:00","4800","Charlotte Kim","charlotte.kim@zylker.com","+15105550113"
"HUB-CC-014","San Jose Collection Center","Collection Center","San Francisco Bay Sorting Hub","true","1720 Rogers Avenue","Unit 6","San Jose","California","95112","United States","37.3704","-121.9098","07:00:00","21:00:00","19:30:00","5100","Benjamin Lee","benjamin.lee@zylker.com","+14085550114"
"HUB-CC-015","Tacoma Collection Center","Collection Center","Seattle Northwest Sorting Hub","true","2201 Port of Tacoma Road","Dock 11","Tacoma","Washington","98421","United States","47.2667","-122.4017","06:30:00","20:00:00","18:45:00","3900","Amelia Price","amelia.price@zylker.com","+12535550115"
"HUB-CC-016","Fort Worth Collection Center","Collection Center","Dallas Fort Worth Sorting Hub","true","3100 North Sylvania Avenue","Warehouse 2","Fort Worth","Texas","76111","United States","32.8004","-97.3081","06:00:00","21:00:00","19:30:00","5300","Henry Davis","henry.davis@zylker.com","+18175550116"
"HUB-CC-017","Plano Collection Center","Collection Center","Dallas Fort Worth Sorting Hub","false","1401 East Plano Parkway","Suite 115","Plano","Texas","75074","United States","33.0086","-96.6925","07:00:00","19:00:00","17:30:00","3100","Harper Morgan","harper.morgan@zylker.com","+19725550117"
"HUB-CC-018","Milwaukee Collection Center","Collection Center","Chicago Central Sorting Hub","true","3800 West Mitchell Street","Bay 4","Milwaukee","Wisconsin","53215","United States","43.0122","-87.9608","06:00:00","20:30:00","19:00:00","4500","Daniel Cooper","daniel.cooper@zylker.com","+14145550118"
"HUB-CC-019","Naperville Collection Center","Collection Center","Chicago Central Sorting Hub","true","1600 Shore Road","Unit 9","Naperville","Illinois","60563","United States","41.7975","-88.1877","07:00:00","20:00:00","18:30:00","3700","Evelyn Parker","evelyn.parker@zylker.com","+16305550119"
"HUB-CC-020","Marietta Collection Center","Collection Center","Atlanta Southeast Sorting Hub","true","825 Franklin Gateway Southeast","Building D","Marietta","Georgia","30067","United States","33.9286","-84.4954","06:30:00","20:30:00","19:00:00","4400","Alexander Reed","alexander.reed@zylker.com","+16785550120"
"HUB-CC-021","Fort Lauderdale Collection Center","Collection Center","Miami South Florida Sorting Hub","true","2950 Northwest 27th Avenue","Unit 14","Fort Lauderdale","Florida","33311","United States","26.1642","-80.1784","07:00:00","21:00:00","19:30:00","4700","Camila Torres","camila.torres@zylker.com","+19545550121"
"HUB-CC-022","Newark Collection Center","Collection Center","New York Gateway Sorting Hub","true","950 Doremus Avenue","Dock 5","Newark","New Jersey","07114","United States","40.7052","-74.1543","05:30:00","22:00:00","20:30:00","6200","Michael Adams","michael.adams@zylker.com","+19735550122"
"HUB-CC-023","Brooklyn Collection Center","Collection Center","New York Gateway Sorting Hub","true","1450 Atlantic Avenue","Floor 1","Brooklyn","New York","11216","United States","40.6785","-73.9447","06:00:00","22:00:00","20:45:00","6800","Abigail Johnson","abigail.johnson@zylker.com","+17185550123"
"HUB-CC-024","Providence Collection Center","Collection Center","Boston New England Sorting Hub","false","125 Corliss Street","Warehouse 7","Providence","Rhode Island","02904","United States","41.8491","-71.4148","07:00:00","19:30:00","18:00:00","2900","Samuel Collins","samuel.collins@zylker.com","+14015550124"
"HUB-CC-025","Aurora Collection Center","Collection Center","Denver Mountain Sorting Hub","true","15800 East 33rd Drive","Suite 200","Aurora","Colorado","80011","United States","39.7648","-104.8069","06:30:00","20:30:00","19:00:00","4100","Grace Mitchell","grace.mitchell@zylker.com","+17205550125"
